proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
293,-4.3,11.9,-469.3,0.8,12.6
294,,,,,
295,-4.3,11.9,-469.8,0.8,12.6
296,-4.4,11.9,-470.3,0.7000000000000001,12.7
297,,,,,
298,-4.3,11.9,-469.9,0.7000000000000001,12.6
299,,,,,
300,,,,,
301,-4.3,11.9,-469.9,0.7000000000000001,12.6
302,,,,,
303,-4.4,11.9,-471.0,0.6000000000000001,12.7
304,-4.3,11.9,-471.1,0.8,12.6
305,,,,,
306,-4.3,11.9,-471.0,0.7000000000000001,12.6
307,,,,,
308,,,,,
309,-4.3,11.9,-470.6,0.7000000000000001,12.6
310,,,,,
311,-4.2,11.9,-470.6,0.8,12.6
312,-4.3,11.9,-470.7,0.7000000000000001,12.6
313,,,,,
314,,,,,
315,-4.4,11.9,-471.3,0.6000000000000001,12.7
316,-4.3,11.9,-471.1,0.7000000000000001,12.6
317,,,,,
318,,,,,
319,-4.3,11.9,-470.2,0.7000000000000001,12.6
320,,,,,
321,-4.4,11.9,-470.7,0.6000000000000001,12.7
322,-4.2,11.9,-470.0,0.7000000000000001,12.6
323,,,,,
324,,,,,
325,-4.4,11.9,-469.9,0.6000000000000001,12.7
326,-4.3,11.9,-470.0,0.6000000000000001,12.6
327,,,,,
328,-4.3,11.9,-469.5,0.6000000000000001,12.6
329,,,,,
330,,,,,
331,-4.3,11.9,-469.3,0.6000000000000001,12.6
332,-4.3,11.9,-470.0,0.6000000000000001,12.6
333,,,,,
334,-4.3,11.9,-469.4,0.6000000000000001,12.6
335,,,,,
336,-4.3,11.9,-469.5,0.6000000000000001,12.6
337,,,,,
338,-4.3,11.9,-469.6,0.6000000000000001,12.6
339,,,,,
340,-2.9,7.9,-314.1,0.4,8.4
341,,,,,
342,-4.3,11.9,-467.7,0.6000000000000001,12.6
343,,,,,
344,-4.2,11.8,-469.4,0.6000000000000001,12.5
345,,,,,
346,,,,,
347,-4.3,11.9,-469.3,0.5,12.7
348,-4.3,11.9,-469.7,0.5,12.6
349,,,,,
350,-4.3,11.9,-469.7,0.5,12.6
351,,,,,
352,-4.3,11.9,-469.4,0.5,12.6
353,,,,,
354,,,,,
355,-4.3,11.9,-469.6,0.5,12.6
356,-4.3,11.9,-469.5,0.5,12.6
357,,,,,
358,-4.3,11.9,-469.7,0.5,12.6
359,,,,,
360,,,,,
361,-4.3,11.9,-469.7,0.5,12.6
362,-4.3,11.9,-469.5,0.5,12.7
363,,,,,
364,-3.5,9.7,-381.5,0.4,10.3
365,,,,,
366,,,,,
367,4.5,-6.0,-301.5,1.9,-7.2
368,-2.8,7.9,-311.9,0.30000000000000004,8.4
369,,,,,
370,-4.3,11.9,-469.9,0.4,12.6
371,,,,,
372,,,,,
373,-4.3,11.9,-470.0,0.5,12.6
374,-4.3,11.9,-470.0,0.4,12.6
375,,,,,
376,,,,,
377,-4.3,11.9,-469.7,0.4,12.6
378,-4.3,11.9,-469.8,0.5,12.6
379,,,,,
380,-4.2,11.9,-469.5,0.4,12.6
381,,,,,
382,-4.3,11.9,-470.0,0.4,12.6
383,,,,,
384,-4.3,11.9,-469.9,0.4,12.6
385,,,,,
386,,,,,
387,-4.3,11.9,-470.3,0.4,12.6
388,,,,,
389,-2.9,8.0,-317.5,0.2,8.5
390,,,,,
391,-3.0,8.3,-328.7,0.2,8.8
392,,,,,
393,-3.0,8.3,-329.5,0.2,8.8
394,-4.3,11.6,-456.1,0.2,12.3
395,,,,,
396,,,,,
397,-4.2,11.1,-459.1,0.1,11.9
398,-2.9,8.0,-384.1,0.2,8.5
399,,,,,
400,,,,,
401,-2.9,8.0,-319.1,0.2,8.5
402,,,,,
403,-3.6,10.1,-319.5,0.30000000000000004,10.7
404,,,,,
405,-3.1,8.2,-315.9,0.1,8.8
406,,,,,
407,-2.9,8.0,-316.5,0.2,8.5
408,,,,,
409,-4.3,11.9,-470.3,0.30000000000000004,12.7
410,,,,,
411,-4.2,11.9,-470.2,0.4,12.6
412,,,,,
413,-4.4,11.9,-470.1,0.2,12.7
414,-3.5,9.9,-392.1,0.30000000000000004,10.5
415,,,,,
416,,,,,
417,-3.4,9.5,-381.0,0.2,10.1
418,-2.9,8.0,-314.3,0.2,8.5
419,,,,,
420,,,,,
421,-2.9,8.0,-314.9,0.2,8.5
422,,,,,
423,-3.0,8.1,-317.2,0.1,8.6
424,,,,,
425,-2.9,8.0,-314.9,0.2,8.5
426,,,,,
427,-2.8,8.0,-314.9,0.2,8.5
428,,,,,
429,-2.9,8.0,-314.9,0.2,8.5
430,,,,,
431,-2.9,8.0,-314.9,0.1,8.5
432,,,,,
433,-2.9,8.0,-314.9,0.1,8.5
434,,,,,
435,-2.8,8.0,-315.3,0.2,8.5
436,,,,,
437,-4.3,11.9,-471.2,0.1,12.7
438,,,,,
439,-4.3,11.9,-471.3,0.1,12.7
440,,,,,
441,-4.3,11.9,-470.6,0.1,12.7
442,,,,,
443,-4.3,11.9,-470.4,0.1,12.7
444,-4.2,11.9,-470.5,0.2,12.6
445,,,,,
446,,,,,
447,-4.2,11.9,-469.1,0.2,12.6
448,-4.3,11.9,-471.6,0.1,12.6
449,,,,,
450,-4.2,11.9,-471.6,0.2,12.6
451,,,,,
452,-4.3,11.9,-470.6,0.1,12.7
453,,,,,
454,,,,,
455,-2.9,8.0,-314.7,0.0,8.5
456,-2.9,8.0,-314.9,0.0,8.5
457,,,,,
458,-2.9,8.0,-314.9,0.0,8.5
459,,,,,
460,-3.5,9.7,-383.6,0.0,10.3
461,,,,,
462,,,,,
463,-4.2,11.9,-470.5,0.1,12.6
464,,,,,
465,-2.9,8.0,-314.9,0.0,8.5
466,-3.5,9.7,-384.0,0.0,10.3
467,,,,,
468,-3.6,10.2,-401.2,0.0,10.8
469,,,,,
470,-3.6,9.9,-392.1,0.0,10.6
471,,,,,
472,-3.6,10.0,-392.5,0.0,10.6
473,,,,,
474,-2.9,8.0,-314.9,0.0,8.5
475,,,,,
476,,,,,
477,-3.6,10.0,-393.2,0.0,10.6
478,-4.3,12.0,-471.1,0.0,12.7
479,,,,,
480,,,,,
481,-4.3,11.9,-470.8,-0.1,12.7
482,,,,,
483,-4.3,11.9,-471.1,-0.1,12.7
484,,,,,
485,-4.3,11.9,-471.5,-0.1,12.7
486,,,,,
487,-4.2,11.9,-471.8,0.0,12.6
488,-4.3,12.0,-471.4,-0.1,12.8
489,,,,,
490,-4.3,11.9,-471.4,-0.1,12.7
491,,,,,
492,,,,,
493,-4.3,11.9,-471.2,-0.1,12.6
494,,,,,
495,-4.3,12.0,-471.6,-0.1,12.7
496,,,,,
497,-4.3,11.9,-471.7,-0.1,12.6
498,-4.4,12.0,-471.6,-0.2,12.8
499,,,,,
500,-4.3,11.9,-471.7,-0.2,12.7
501,,,,,
502,-4.3,11.9,-471.4,-0.2,12.7
503,,,,,
504,-4.3,12.0,-471.7,-0.1,12.7
505,,,,,
506,-4.2,11.9,-471.5,-0.1,12.6
507,,,,,
508,-4.3,12.0,-471.7,-0.2,12.7
509,,,,,
510,-4.3,12.0,-471.8,-0.2,12.7
511,,,,,
512,-4.3,12.0,-471.5,-0.2,12.7
513,,,,,
514,-4.3,11.9,-471.7,-0.2,12.7
515,,,,,
516,,,,,
517,-4.3,12.0,-471.2,-0.2,12.7
518,-4.3,12.0,-471.9,-0.2,12.7
519,,,,,
520,-4.3,11.9,-471.6,-0.2,12.7
521,,,,,
522,-4.3,12.0,-472.2,-0.2,12.7
523,,,,,
524,,,,,
525,-4.2,12.0,-471.6,-0.1,12.7
526,,,,,
527,-4.3,12.0,-471.8,-0.30000000000000004,12.7
528,,,,,
529,-4.2,12.0,-471.7,-0.2,12.7
530,,,,,
531,-4.2,11.9,-471.3,-0.2,12.6
532,,,,,
533,-4.3,12.0,-471.8,-0.30000000000000004,12.7
534,-4.2,12.0,-471.8,-0.2,12.7
535,,,,,
536,,,,,
537,-4.3,11.9,-471.8,-0.30000000000000004,12.6
538,-4.2,11.9,-471.8,-0.30000000000000004,12.6
539,,,,,
540,,,,,
541,-4.4,12.0,-471.4,-0.4,12.8
542,-4.3,12.0,-472.0,-0.30000000000000004,12.7
543,,,,,
544,,,,,
545,-4.3,12.0,-471.7,-0.30000000000000004,12.7
546,,,,,
547,-4.3,12.0,-471.7,-0.30000000000000004,12.7
548,,,,,
549,-4.2,12.0,-471.5,-0.30000000000000004,12.7
550,-4.3,12.0,-471.5,-0.4,12.7
551,,,,,
552,-4.3,11.9,-471.6,-0.4,12.6
553,,,,,
554,-4.3,11.9,-471.7,-0.4,12.6
555,,,,,
556,,,,,
557,-4.3,12.0,-471.7,-0.4,12.7
558,,,,,
559,-4.2,11.9,-471.7,-0.30000000000000004,12.6
560,-4.3,12.0,-472.3,-0.4,12.7
561,,,,,
562,,,,,
563,-4.2,12.0,-471.9,-0.30000000000000004,12.7
564,-4.3,12.0,-471.6,-0.4,12.7
565,,,,,
566,-4.2,12.0,-471.6,-0.4,12.7
567,,,,,
568,-4.3,12.0,-472.4,-0.5,12.7
569,,,,,
570,,,,,
571,-4.2,12.0,-471.8,-0.4,12.7
572,-4.2,12.0,-472.2,-0.4,12.7
573,,,,,
574,,,,,
575,-4.2,12.0,-472.1,-0.4,12.7
576,,,,,
577,-4.2,12.0,-472.0,-0.4,12.7
578,,,,,
579,-4.2,12.0,-472.0,-0.5,12.7
580,,,,,
581,-4.2,12.0,-472.2,-0.4,12.7
582,,,,,
583,-4.2,11.9,-472.4,-0.4,12.7
584,-4.2,12.0,-472.5,-0.4,12.7
585,,,,,
586,-4.3,12.0,-471.6,-0.5,12.7
587,,,,,
588,,,,,
589,-4.2,11.9,-471.8,-0.5,12.6
590,-4.3,12.0,-471.3,-0.5,12.7
591,,,,,
592,,,,,
593,-4.3,11.9,-471.7,-0.6000000000000001,12.6
594,,,,,
595,-4.2,11.9,-471.5,-0.5,12.6
596,,,,,
597,-4.3,12.0,-471.8,-0.6000000000000001,12.7
598,,,,,
599,-4.3,12.0,-471.6,-0.6000000000000001,12.7
600,-4.2,11.9,-471.6,-0.5,12.6
601,,,,,
602,,,,,
603,-4.2,11.9,-471.1,-0.6000000000000001,12.6
604,-4.2,11.9,-471.3,-0.6000000000000001,12.6
605,,,,,
606,-4.2,12.0,-471.2,-0.5,12.7
607,,,,,
608,,,,,
609,-4.3,12.0,-472.3,-0.6000000000000001,12.7
610,,,,,
611,-4.3,12.0,-472.5,-0.7000000000000001,12.7
612,,,,,
613,-4.3,12.0,-471.6,-0.7000000000000001,12.7
614,,,,,
615,-4.3,11.9,-471.6,-0.7000000000000001,12.7
616,,,,,
617,-4.3,12.0,-470.9,-0.7000000000000001,12.7
618,,,,,
619,-4.1,11.9,-471.9,-0.5,12.6
620,,,,,
621,-4.2,11.9,-471.4,-0.7000000000000001,12.6
622,,,,,
623,-4.3,11.9,-471.4,-0.7000000000000001,12.6
624,,,,,
625,-4.2,12.0,-471.5,-0.6000000000000001,12.7
626,-4.3,12.0,-471.8,-0.7000000000000001,12.7
627,-4.2,12.0,-471.9,-0.7000000000000001,12.7
628,,,,,
629,-4.2,11.9,-471.3,-0.7000000000000001,12.6
630,-4.2,12.0,-471.5,-0.7000000000000001,12.6
631,,,,,
632,,,,,
633,-4.3,12.0,-471.3,-0.8,12.7
634,,,,,
635,-4.2,12.0,-471.8,-0.7000000000000001,12.7
636,-4.3,11.9,-471.3,-0.8,12.6
637,,,,,
638,-4.3,12.0,-471.5,-0.8,12.7
639,,,,,
640,-4.2,12.0,-471.6,-0.7000000000000001,12.6
641,,,,,
642,-4.3,12.0,-472.4,-0.8,12.7
643,,,,,
644,-4.2,11.9,-471.0,-0.8,12.6
645,,,,,
646,,,,,
647,-4.3,12.0,-471.2,-0.8,12.7
648,,,,,
649,-4.3,12.0,-471.2,-0.9,12.7
650,,,,,
651,-4.3,12.0,-471.3,-0.9,12.7
652,-4.3,12.0,-470.9,-0.9,12.7
653,,,,,
654,-4.3,11.9,-470.8,-0.9,12.6
655,,,,,
656,-4.3,12.0,-471.1,-0.9,12.7
657,,,,,
658,,,,,
659,-4.4,12.0,-471.3,-1.0,12.7
660,,,,,
661,-4.2,12.0,-471.3,-0.8,12.7
662,,,,,
663,-4.2,11.9,-471.1,-0.8,12.6
664,,,,,
665,-4.3,12.0,-471.2,-1.0,12.7
666,-4.2,12.0,-471.3,-0.8,12.7
667,,,,,
668,-4.2,12.0,-471.4,-0.9,12.7
669,,,,,
670,-4.2,12.0,-471.7,-0.9,12.7
671,,,,,
672,,,,,
673,-4.2,12.0,-471.4,-0.9,12.7
674,,,,,
675,-4.2,12.0,-471.8,-0.9,12.7
676,,,,,
677,-4.2,12.0,-472.1,-0.9,12.7
678,,,,,
679,-4.3,12.0,-472.3,-1.0,12.7
680,-4.3,12.0,-472.3,-1.0,12.7
681,,,,,
682,,,,,
683,-4.2,12.0,-472.4,-0.9,12.7
684,-4.3,12.0,-472.3,-1.0,12.7
685,,,,,
686,-4.3,12.0,-472.0,-1.0,12.7
687,,,,,
688,,,,,
689,-4.3,12.0,-471.7,-1.0,12.7
690,,,,,
691,-4.2,12.0,-472.5,-1.0,12.7
692,-4.2,12.0,-472.2,-1.0,12.7
693,,,,,
694,,,,,
695,-4.3,12.0,-472.5,-1.1,12.7
696,,,,,
697,-4.2,12.0,-472.2,-1.0,12.7
698,,,,,
699,-4.2,12.0,-471.5,-1.0,12.7
700,,,,,
701,-4.2,12.0,-472.3,-1.0,12.7
702,,,,,
703,-4.2,12.0,-472.4,-1.0,12.7
704,-4.2,12.0,-472.3,-1.0,12.7
705,,,,,
706,-4.2,12.0,-472.1,-1.0,12.7
707,,,,,
708,-4.3,12.0,-472.2,-1.1,12.7
709,,,,,
710,-4.2,12.0,-472.0,-1.0,12.7
711,,,,,
712,-4.2,12.0,-471.2,-1.0,12.6
713,,,,,
714,,,,,
715,-4.2,12.0,-471.9,-1.1,12.7
716,-4.2,12.0,-472.6,-1.1,12.7
717,,,,,
718,,,,,
719,-4.2,12.0,-473.1,-1.1,12.7
720,,,,,
721,-4.3,12.0,-472.3,-1.2,12.7
722,,,,,
723,-4.3,12.0,-473.3,-1.2,12.7
724,,,,,
725,-4.2,12.0,-472.2,-1.1,12.7
726,,,,,
727,-4.2,12.0,-472.5,-1.2,12.7
728,-4.2,12.0,-471.8,-1.1,12.7
729,,,,,
730,,,,,
731,-4.2,12.0,-471.5,-1.1,12.7
732,,,,,
733,-4.2,12.0,-472.1,-1.1,12.7
734,,,,,
735,-4.1,12.0,-472.1,-1.1,12.6
736,-4.2,12.0,-472.2,-1.2,12.7
737,,,,,
738,-4.2,12.0,-472.3,-1.2,12.7
739,,,,,
740,-4.3,12.1,-473.7,-1.3,12.7
741,,,,,
742,,,,,
743,-4.2,12.0,-472.5,-1.2,12.7
744,-4.2,12.0,-471.8,-1.2,12.7
745,,,,,
746,-4.2,12.0,-471.6,-1.2,12.7
747,,,,,
748,,,,,
749,-4.3,12.0,-472.0,-1.3,12.7
750,-4.3,12.0,-472.0,-1.3,12.7
751,,,,,
752,-4.2,12.0,-472.3,-1.2,12.7
753,,,,,
754,,,,,
755,-4.2,12.0,-472.4,-1.2,12.7
756,-4.2,12.0,-471.6,-1.2,12.7
757,,,,,
758,,,,,
759,-4.2,12.0,-471.8,-1.3,12.7
760,,,,,
761,-4.3,12.0,-471.7,-1.4,12.7
762,-4.3,12.0,-471.7,-1.4,12.7
763,,,,,
764,,,,,
765,-4.3,12.0,-472.2,-1.3,12.7
766,,,,,
767,-4.2,12.0,-472.2,-1.3,12.7
768,,,,,
769,-4.2,12.0,-472.0,-1.3,12.6
770,,,,,
771,-4.2,12.0,-471.7,-1.3,12.6
772,,,,,
773,-4.2,12.0,-472.4,-1.3,12.6
774,-4.3,12.0,-472.1,-1.4,12.7
775,,,,,
776,,,,,
777,-4.2,12.0,-471.9,-1.3,12.6
778,,,,,
779,-4.3,12.0,-472.2,-1.4,12.7
780,,,,,
781,-4.2,12.0,-473.1,-1.3,12.6
782,,,,,
783,-4.2,12.0,-472.7,-1.4,12.7
784,,,,,
785,-4.3,12.0,-472.2,-1.5,12.7
786,-4.2,12.0,-472.6,-1.4,12.6
787,,,,,
788,,,,,
789,-4.2,12.0,-472.6,-1.4,12.6
790,,,,,
791,-4.3,12.0,-472.0,-1.5,12.7
792,,,,,
793,-4.1,12.0,-471.9,-1.3,12.6
794,-4.2,12.0,-472.1,-1.4,12.6
795,,,,,
796,,,,,
797,-4.2,12.0,-471.8,-1.4,12.6
798,-4.2,12.0,-471.9,-1.4,12.6
799,,,,,
800,,,,,
801,-4.1,12.0,-471.7,-1.3,12.6
802,,,,,
803,-4.2,12.0,-472.0,-1.4,12.6
804,-4.3,12.0,-472.4,-1.5,12.7
805,,,,,
806,-4.1,12.0,-471.6,-1.4,12.6
807,,,,,
808,-4.2,12.0,-471.8,-1.4,12.6
809,,,,,
810,,,,,
811,-4.3,12.0,-471.8,-1.6,12.7
812,,,,,
